Номер_узла,значение_температуры
0,200
1,100
2,100
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,100
11,100
12,100
13,100
14,100
15,100
16,100
17,200
18,134.546
19,111.379
20,103.751
21,101.567
22,101.579
23,103.282
24,107.494
25,115.232
26,123.881
27,119.25
28,109.067
29,101.848
30,89.4325
31,66.432
32,43.4315
33,200
34,126.806
35,107.22
36,102.056
37,100.94
38,101.468
39,104.053
40,111.463
41,129.552
42,161.042
43,144.053
44,115.17
45,108.891
46,89.4502
47,32.8639
48,200
49,137.461
50,132.671
51,135.64
52,109.888
53,103.384
54,101.542
55,101.307
56,102.35
57,105.564
58,113.095
59,127.133
60,137.677
61,52.3229
62,200
63,100
64,100
65,100.001
66,100.005
67,100.017
68,100.063
69,100.236
70,100.879
71,103.281
72,112.246
73,145.703
74,270.564
75,200
76,107.736
77,130.945
78,116.045
79,106.43
80,102.456
81,101.34
82,101.962
83,105.042
84,114.153
85,140.106
86,216.72
87,200
88,100.836
89,103.344
90,106.975
91,111.462
92,111.741
93,97.8237
94,127.231
95,111.101
96,117.172
97,157.585
98,200
99,100.527
100,102.108
101,101.475
102,101.336
103,102.528
104,106.813
105,119.681
106,157.76
107,271.252
108,200
109,100
110,100
111,100
112,100
113,100
114,100
115,100
116,100
